Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
77 @ EAST COAST,"1,045,000",613.55,"1,703",01-Sep-20,77 UPPER EAST COAST ROAD #03-06,New Sale,Strata,57,"18,333",-,Apartment,1,Freehold,Uncompleted,Private,455218,15,45,East Region,Bedok
77 @ EAST COAST,"1,051,000",602.78,"1,744",01-Sep-20,77 UPPER EAST COAST ROAD #03-07,New Sale,Strata,56,"18,768",-,Apartment,1,Freehold,Uncompleted,N.A,455218,15,45,East Region,Bedok
WHISTLER GRAND,"1,002,400",624.31,"1,606",01-Sep-20,109 WEST COAST VALE #34-19,New Sale,Strata,58,"17,283",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,N.A,126752,5,12,West Region,Clementi
PARC ESTA,"1,232,000",635.08,"1,940",01-Sep-20,904 SIMS AVENUE #16-24,New Sale,Strata,59,"20,881",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408968,14,40,Central Region,Geylang
THE ESSENCE,"1,408,000","1,044.11","1,349",01-Sep-20,1 CHONG KUO ROAD #01-18,New Sale,Strata,97,"14,515",-,Apartment,1,99 yrs from 04/05/2018,Uncompleted,Private,779830,26,77,North Region,Yishun
PIERMONT GRAND,"1,027,890",947.23,"1,085",01-Sep-20,38 SUMANG WALK #02-34,New Sale,Strata,88,"11,681",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,N.A,828624,19,82,North East Region,Punggol
REZI 24,"724,200",452.09,"1,602",01-Sep-20,39 LORONG 24 GEYLANG #04-14,New Sale,Strata,42,"17,243",-,Apartment,1,Freehold,Uncompleted,N.A,398636,14,39,Central Region,Geylang
TREASURE AT TAMPINES,"2,095,000","1,711.48","1,224",01-Sep-20,29 TAMPINES LANE #11-100,New Sale,Strata,159,"13,176",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528471,18,52,East Region,Tampines
TREASURE AT TAMPINES,"1,225,000",914.94,"1,339",01-Sep-20,5 TAMPINES LANE #09-19,New Sale,Strata,85,"14,412",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528485,18,52,East Region,Tampines
TREASURE AT TAMPINES,"1,172,000",914.94,"1,281",01-Sep-20,53 TAMPINES LANE #04-183,New Sale,Strata,85,"13,788",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528459,18,52,East Region,Tampines
