Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE FLORENCE RESIDENCES,"799,000",484.38,"1,650",01-Oct-20,97 HOUGANG AVENUE 2 #12-81,New Sale,Strata,45,"17,756",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,533753,19,53,North East Region,Hougang
TREASURE AT TAMPINES,"1,665,000","1,237.86","1,345",01-Oct-20,43 TAMPINES LANE #06-143,New Sale,Strata,115,"14,478",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528464,18,52,East Region,Tampines
ONE PEARL BANK,"1,803,000",699.66,"2,577",01-Oct-20,1 PEARL BANK #23-15,New Sale,Strata,65,"27,738",-,Apartment,1,99 yrs from 01/03/2019,Uncompleted,HDB,169016,3,16,Central Region,Outram
FORETT AT BUKIT TIMAH,"1,508,000",721.19,"2,091",01-Oct-20,34 TOH TUCK ROAD #09-25,New Sale,Strata,67,"22,507",-,Apartment,1,Freehold,Uncompleted,N.A,596712,21,59,Central Region,Bukit Timah
FORETT AT BUKIT TIMAH,"931,000",473.62,"1,966",01-Oct-20,34B TOH TUCK ROAD #06-47,New Sale,Strata,44,"21,159",-,Apartment,1,Freehold,Uncompleted,N.A,596113,21,59,Central Region,Bukit Timah
FORETT AT BUKIT TIMAH,"1,109,000",570.49,"1,944",01-Oct-20,34B TOH TUCK ROAD #05-49,New Sale,Strata,53,"20,925",-,Apartment,1,Freehold,Uncompleted,HDB,596113,21,59,Central Region,Bukit Timah
FORETT AT BUKIT TIMAH,"1,842,000",979.52,"1,881",01-Oct-20,38A TOH TUCK ROAD #04-82,New Sale,Strata,91,"20,242",-,Apartment,1,Freehold,Uncompleted,Private,596116,21,59,Central Region,Bukit Timah
ADRIA,"2,200,000","1,302.44","1,689",01-Oct-20,12 DERBYSHIRE ROAD #20-03,Resale,Strata,121,"18,182",-,Apartment,1,Freehold,2013,Private,309466,11,30,Central Region,Novena
GISBORNE LIGHT,"1,325,000",936.47,"1,415",01-Oct-20,27 EWE BOON ROAD #03-02,Resale,Strata,87,"15,230",-,Apartment,1,Freehold,2003,HDB,259330,10,25,Central Region,Tanglin
DUO RESIDENCES,"1,290,000",645.84,"1,997",01-Oct-20,1 FRASER STREET #21-05,Resale,Strata,60,"21,500",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,189350,7,18,Central Region,Downtown Core
CENTRAL GROVE,"1,168,000","1,216.33",960,01-Oct-20,3 GEYLANG EAST AVENUE 1 #03-15,Resale,Strata,113,"10,336",-,Condominium,1,99 yrs from 18/07/1997,2001,Private,389779,14,38,Central Region,Geylang
ICON,"960,000",581.26,"1,652",01-Oct-20,10 GOPENG STREET #26-05,Resale,Strata,54,"17,778",-,Apartment,1,99 yrs from 29/01/2002,2007,Private,78878,2,7,Central Region,Downtown Core
EUHABITAT,"675,000",538.2,"1,254",01-Oct-20,210 JALAN EUNOS #03-74,Resale,Strata,50,"13,500",-,Condominium,1,99 yrs from 06/12/2010,2015,HDB,419549,14,41,East Region,Bedok
THE TRUMPS,"1,800,000","1,431.61","1,257",01-Oct-20,1 JALAN KEMBANGAN #16-03,Resale,Strata,133,"13,534",-,Condominium,1,99 yrs from 14/08/2000,2005,Private,419154,14,41,East Region,Bedok
MOUNT SOPHIA SUITES,"788,000",365.98,"2,153",01-Oct-20,95 SOPHIA ROAD #02-03,Resale,Strata,34,"23,176",-,Apartment,1,Freehold,2010,Private,228163,9,22,Central Region,Rochor
