Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
WING FONG MANSIONS/WING FONG COURT,"995,000","1,227.10",811,27-Aug-21,12 LORONG 14 GEYLANG #01-16,Resale,Strata,114,"8,728",-,Apartment,1,Freehold,1997,HDB,398924,14,39,Central Region,Geylang
26 NEWTON,"1,750,000",775.01,"2,258",27-Aug-21,26 NEWTON ROAD #06-02,Resale,Strata,72,"24,306",-,Apartment,1,Freehold,2016,Private,307957,11,30,Central Region,Novena
1919,"1,480,000",699.66,"2,115",27-Aug-21,110 SOPHIA ROAD #04-10,Resale,Strata,65,"22,769",-,Apartment,1,Freehold,2015,HDB,228175,9,22,Central Region,Rochor
THE TENERIFFE,"2,950,000","3,089.27",955,27-Aug-21,180 LAUREL WOOD AVENUE,Resale,Strata,287,"10,279",-,Terrace House,1,99 yrs from 07/09/1996,2003,Private,275873,10,27,Central Region,Bukit Timah
SUMMERLEA GREEN,"2,300,000","1,637.20","1,405",27-Aug-21,5 KISMIS ROAD,Resale,Land,152.1,"15,122",-,Terrace House,1,99 yrs from 26/08/1995,1998,HDB,596282,21,59,Central Region,Bukit Timah
EMILY RESIDENCE,"900,000",548.96,"1,639",27-Aug-21,3 MOUNT EMILY ROAD #03-02,Resale,Strata,51,"17,647",-,Apartment,1,Freehold,2006,Private,228485,9,22,Central Region,Rochor
PATERSON SUITES,"4,280,000","1,754.53","2,439",27-Aug-21,55 PATERSON ROAD #16-03,Resale,Strata,163,"26,258",-,Condominium,1,Freehold,2010,Private,238550,9,23,Central Region,River Valley
ONE MEYER,"2,590,000","1,033.34","2,506",28-Aug-21,1 MEYER PLACE #10-01,New Sale,Strata,96,"26,979",-,Apartment,1,Freehold,Uncompleted,N.A,437988,15,43,Central Region,Marine Parade
NORMANTON PARK,"1,097,000",570.49,"1,923",28-Aug-21,55 NORMANTON PARK #22-52,New Sale,Strata,53,"20,698",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,Private,117283,5,11,Central Region,Queenstown
NORMANTON PARK,"1,893,000","1,065.64","1,776",28-Aug-21,59 NORMANTON PARK #08-64,New Sale,Strata,99,"19,121",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,N.A,117285,5,11,Central Region,Queenstown
VERTICUS,"1,791,000",936.47,"1,913",28-Aug-21,3 JALAN KEMAMAN #09-05,New Sale,Strata,87,"20,586",-,Apartment,1,Freehold,Uncompleted,HDB,329343,12,32,Central Region,Novena
VERDALE,"1,246,000",699.66,"1,781",28-Aug-21,10 DE SOUZA AVENUE #02-23,New Sale,Strata,65,"19,169",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,HDB,599449,21,59,Central Region,Bukit Timah
AVENUE SOUTH RESIDENCE,"1,576,000",688.9,"2,288",28-Aug-21,11 SILAT AVENUE #43-35,New Sale,Strata,64,"24,625",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,HDB,168877,3,16,Central Region,Bukit Merah
ONE HOLLAND VILLAGE RESIDENCES,"1,976,680",828.83,"2,385",28-Aug-21,1 HOLLAND VILLAGE WAY #02-06,New Sale,Strata,77,"25,671",-,Apartment,1,99 yrs from 13/08/2018,Uncompleted,N.A,275754,10,27,Central Region,Queenstown
LEEDON GREEN,"1,777,000",710.42,"2,501",28-Aug-21,30 LEEDON HEIGHTS #05-21,New Sale,Strata,66,"26,924",-,Condominium,1,Freehold,Uncompleted,N.A,266223,10,26,Central Region,Bukit Timah
PENROSE,"1,939,000","1,184.04","1,638",28-Aug-21,20 SIMS DRIVE #07-07,New Sale,Strata,110,"17,627",-,Apartment,1,99 yrs from 03/07/2019,Uncompleted,N.A,387395,14,38,Central Region,Geylang
